7:49180,45483,28544,11603,52923,64510,13387,55469,13512,47533
18:2668,67521,39433,94006,96654,99867,33908,92191,99658,97062
19:59083,19480,111624,19004,19928,17,302,654,76,616
36:82339,71626,39574,94649,98548,40326,28544,84347,55469,27108
37:49716,25357,68989,99547,112943,3193,75086,100173,93507,43844
41:121413,12599,25635,96976,61261,4972,16891,50717,65085,59467
42:11070,102287,117046,52923,64510,13387,59548,93254,53174,30177
43:16463,26868,32347,16350,120491,83076,3936,113780,102276,1546
44:115125,14758,103286,5268,1302,6239,6880,7675,2829,9371
45:4858,15580,11751,110820,117814,76,14147,36181,78863,37712
46:375,65615,4967,35101,120255,51933,60889,7222,4664,366
59:55521,95253,5348,39624,367,12874,38903,58529,70359,40438
60:17015,20869,63313,10758,4418,810,93902,24370,12160,5621
69:68065,71092,17948,8144,19946,64781,868,2931,17341,100112
70:83281,80602,3214,5857,10827,4534,13630,704,13726,8199
94:87721,59260,16272,121810,61009,1116,1647,10275,31452,70508
106:29722,40707,120255,51933,6918,15262,46269,423,10256,15242
115:1217,13302,83518,52552,56895,11625,4938,8262,5670,2168
116:93533,93195,16000,8199,8933,4708,659,704,2995,2829
142:52095,79743,38215,3013,36954,48222,10986,5991,120945,35307
143:394,86747,107116,356,122103,61599,64950,4338,55626,33043
148:55521,95253,62155,13328,122954,11718,80415,15463,12886,724
150:294,5204,15676,19907,50581,22879,8746,34548,43121,18916
156:12381,75986,1007,72994,414,68683,119970,1775,92674,33818
161:16515,6068,18083,47029,53077,34640,90625,52773,80364,71692
171:2801,16459,51741,69198,65974,24452,17703,59387,6593,726
172:8539,36599,52181,15304,917,6593,15583,4963,6073,14891
174:15512,5301,367,19233,5195,9346,10695,138,13969,14902
177:96289,32998,30525,16319,15755,4764,17508,1644,85678,4125
196:55521,95253,15534,13772,439,27592,13340,8688,2570,52039
202:35569,25637,15035,10692,50458,12207,11326,32429,1187,85637
211:8166,55962,21558,35603,16348,7578,27424,1044,10966,101367
217:6247,7346,33221,659,2776,5857,4963,3741,16764,48596
220:64973,22713,121130,58456,55725,83884,42010,93455,40356,45641
223:55521,95253,1710,8444,44835,21841,15741,14859,16788,30151
224:55158,51115,16254,24044,14867,45229,68162,7126,53543,103161
225:5301,13772,439,51649,8527,3447,52552,19037,10733,3589
228:10300,33889,5666,15990,42491,14018,50998,19643,44438,38604
229:2475,730,88413,240,7202,20891,14476,13918,1732,30348
231:2801,149,4485,1250,2038,16459,4012,3241,51741,5689
232:55056,99135,108129,77322,78975,86134,62228,83516,41443,37449
238:33506,55318,20493,92825,28544,55469,41702,1344,20173,188
241:8539,15304,52181,115125,27161,62413,60327,1180,10369,69679
245:40012,22191,8906,17759,9575,8588,2435,31059,71347,13719
249:80125,6323,58974,52312,69693,7869,7194,96705,26787,41336
250:2845,30629,47429,58529,22292,32009,14768,2031,97183,3387
253:3140,5209,3638,26868,94087,28689,42713,84058,69456,19757
257:92932,41,70152,58529,7578,22292,32009,14768,2031,97183
272:1762,23983,8688,2570,41190,4351,21735,3158,1069,51875
273:13512,46283,97944,92313,17979,93914,38890,98288,90500,5991
288:92331,16205,22872,72994,54981,61574,12381,1791,15965,3519
290:50834,95021,39307,39702,75931,86464,102494,43048,80532,116525
291:9910,17250,4753,31101,33734,205,17341,5998,31269,61628
292:726,60267,6284,837,21586,3234,495,21154,4227,95175
294:16912,103976,1898,37656,62860,3423,3103,13091,9481,33058
328:15573,1102,54571,138,303,18960,190,70017,100478,87220
331:25035,5542,53133,7271,37215,55946,14565,21632,20440,761
345:11401,62840,54785,120147,10278,49859,86663,106828,53726,43665
361:19654,3,80239,20424,11776,23995,1357,333,77143,96252
376:12015,37032,3943,4173,41037,117983,1896,22373,55274,11053
384:60912,55521,95253,63694,92932,41,23872,19614,18835,27592
401:63500,95253,81218,116400,114739,55521,16092,19233,39604,386
402:19687,7346,1456,7251,4708,74966,3157,10827,4534,13726
410:59997,12081,1644,17329,15963,1131,108706,8115,2628,36241
448:121529,87027,61979,46333,75182,23456,59906,101272,11447,42880
449:37279,17245,68625,439,13772,66730,77327,28231,82515,28759
450:2469,11818,37225,18337,13433,3271,8813,14530,12182,68065
452:51765,34941,109813,51078,83076,104177,113780,102276,1546,79368
476:12716,71577,6164,10854,23830,38836,12466,35984,86866,50891
488:57328,25236,26263,83526,72667,16604,12641,12182,2607,10782
490:12066,28544,55469,3429,1001,105059,36414,57375,72372,8111
494:10247,45631,55807,16191,59744,6719,17333,100190,94408,84534
500:14750,10014,11724,5457,4092,8861,21171,9230,12253,5080
514:4963,100424,95564,90018,58422,7202,40768,12822,84444,19757
525:2661,1146,114299,29110,4601,10276,26339,563,93227,100925
535:2971,78416,72493,121331,2108,40182,8232,31128,6275,18012
536:53260,49412,49180,28544,68989,55469,32050,43844,106119,67452
538:82339,71626,57226,39574,42713,1880,120375,1463,1001,7166
539:34275,2273,54969,14565,35839,1155,24055,7140,36711,20467
564:1494,8669,119500,9686,2641,11643,1739,28314,87215,10249
582:4541,35121,12162,37636,94722,75650,112888,117340,97678,15252
585:3197,120255,51933,91694,5638,92292,45483,11603,86756,8276
590:15377,12162,37636,75650,5312,1021,20440,16595,10142,153
601:31717,75023,27912,121234,67228,94414,69110,90054,105155,118676
618:55430,102347,20899,108683,69826,27985,122720,39906,14880,110661
624:25276,8219,25867,24539,100747,18412,14349,36736,86131,76317
627:19757,17,1456,25583,13732,16266,190,1455,122655,114599
628:6526,21488,75280,65861,39233,84119,6712,5655,443,67572
632:95100,79393,117014,71212,21446,95685,66943,109162,69565,87032
633:2158,104,22190,40554,10300,38177,41641,36996,107536,32448
634:65135,43424,1600,76028,40558,12332,47749,99396,23440,528
646:22074,16764,659,5387,5785,122154,48596,20670,7346,36668
666:76636,73406,76761,110836,70709,91730,90304,57437,75624,14164
667:2494,3274,1731,37739,19614,78490,52618,7140,7667,6590
669:74425,51119,103046,16439,2303,46451,98042,117067,95800,94180
678:6793,16049,889,26062,20725,5347,303,4563,15454,2939
680:120671,23333,28061,2514,89474,761,15841,44250,43013,13607
681:93995,104746,112623,42952,12449,29262,3688,13467,22341,117308
682:10020,18876,24164,238,94087,28689,27850,69456,110875,90119
683:45128,69187,97127,112536,71448,57429,35676,16577,110374,50119
684:8652,30357,10493,97885,99037,87896,102583,80987,39457,8739
715:62433,10722,62181,7658,82494,15622,11946,92018,82049,59850
716:58916,23872,1380,41586,4682,91041,4163,64752,3308,22585
741:8652,2373,659,5268,8933,704,2995,15442,57269,56243
750:45570,40625,80737,100218,118032,11868,53790,53515,250,23591
754:6395,15122,37190,786,109,380,26096,34275,48663,14560
756:69884,8737,33659,58529,121551,90500,22190,38177,41641,36996
757:4008,1338,12915,4816,470,8040,5060,56614,108739,107
758:92932,41,10110,109399,7578,101639,121905,4123,294,5581
763:115125,23626,20891,46303,8199,15657,1732,9646,730,45076
773:45190,110929,46060,124,15167,14761,105379,58704,226,16490
774:24164,36954,11818,53955,25563,8741,33681,6593,32353,14705
775:26371,15412,2644,2976,58366,34065,10709,27587,88648,65913
782:82339,71626,39574,119463,87646,89291,23489,112888,7145,52630
784:10681,3570,32448,36006,8096,18590,2073,58165,36983,83291
793:8096,64926,66730,14942,100563,4742,110453,93212,81755,42422
803:3389,12599,26932,11326,1146,114299,20900,29110,91192,5393
813:82339,71626,57226,39574,92099,3527,9567,5413,30441,112888
815:10276,13861,23813,552,17468,5735,766,7257,30286,51599
817:29745,1762,1102,69989,22348,80239,70864,8688,1896,21873
818:28755,76837,5894,25647,117415,70388,78239,40015,50876,12571
823:2989,12081,80125,17329,2145,3842,84071,30993,78422,120017
825:17245,65962,7375,1376,32528,50581,112499,5735,16612,51909
833:28474,70386,4487,34324,54350,46216,56957,79141,72915,106119
835:35048,112579,68065,71092,932,12483,64963,7874,12363,12045
838:84808,17077,535,2717,58461,113566,28371,45281,47089,6584
844:80239,36160,4541,3487,41525,38177,12742,3,13975,41641
850:96705,105877,53607,18723,7194,1763,17934,22861,26787,41336
856:45068,77404,17196,40438,20257,730,55657,5387,48596,5785
857:13512,46283,111350,31454,58529,16553,51115,9346,14129,2163
874:6266,12175,27297,52103,23983,23011,10967,25880,4991,3274
891:20322,22726,121156,81178,80533,89107,14855,44964,80860,11023
